0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3.8581,4.5386,4.9606,5.305,5.7666,6.1762,6.2294,6.1706,6.1523,6.1251,6.2064,6.3959,6.695,7.1204,7.3717,7.8055,8.1099,7.8741,7.5425,7.3194
0,5.4937,6.5758,6.9848,7.3026,7.793,7.9991,7.772,7.5393,7.3651,7.3235,7.2804,7.5977,7.9131,7.9507,8.0496,8.4273,8.6701,8.2259,7.8073,7.7231
0,4.4792,5.4378,6.1501,6.5185,6.7902,6.7986,6.3151,6.046,6.0424,6.0263,6.0137,6.143,6.3875,6.7062,7.0024,7.3608,7.5339,7.395,7.2216,7.3595
0,5.7389,6.6692,7.1924,7.692,8.0532,8.1766,7.6921,7.41,7.17,7.123,7.1947,7.4993,7.7105,7.9476,8.2538,8.5386,8.3981,8.0837,7.8006,7.8339
0,5.2096,6.1016,6.6165,7.0318,7.2999,7.6554,7.5624,7.4878,7.2994,7.2499,7.3343,7.4832,7.5625,7.5807,7.7697,8.0637,8.1531,7.9138,7.6303,7.5685
0,5.0167,5.9456,6.5222,6.778,7.0015,7.4721,7.3112,7.0238,6.8557,6.8746,6.8125,7.0625,7.4691,7.5609,7.569,7.7729,7.7517,7.4414,7.3657,7.4293
0,5.2512,5.9513,6.6829,7.1834,7.6028,8.0045,7.7326,7.398,7.2055,7.1741,7.0529,7.2361,7.5184,7.7374,7.8189,7.8955,7.9471,7.5864,7.5856,7.5966
0,5.4325,6.3915,6.9758,7.338,7.5967,7.5538,7.0495,6.7485,6.6091,6.6162,6.7215,6.9177,7.2828,7.5872,7.9156,8.2003,8.2524,7.887,7.6647,7.7073
0,3.9555,4.6983,5.4832,5.9509,6.1789,6.7048,6.5479,6.4308,6.4648,6.5137,6.488,6.6986,7.0207,7.3485,7.5267,7.5818,7.7137,7.4992,7.2814,7.2812
0,5.6823,6.6056,7.1031,7.638,7.9047,7.8234,7.5134,7.3912,7.2484,7.1904,7.1887,7.442,7.7853,8.1789,8.3498,8.667,8.7499,8.2421,7.8485,7.8072
0,4.1049,4.9239,5.7541,5.9396,6.3145,6.6706,6.4303,6.1506,6.237,6.1708,6.1315,6.2022,6.509,6.8795,7.2288,7.5209,7.5152,7.2741,7.1876,7.2421
0,5.6851,6.5932,7.0145,7.528,7.6282,7.8764,7.7447,7.5035,7.4723,7.5539,7.4622,7.4943,7.6589,7.7077,7.9234,8.1723,8.2082,8.0333,7.924,7.9113
0,5.5851,6.7116,7.268,7.4728,7.4769,7.5781,7.1224,6.8837,6.8239,6.8131,6.8138,6.9148,7.1419,7.0959,7.2555,7.8133,8.1431,7.6796,7.4722,7.5945
0,5.1636,6.1972,6.6869,7.0876,7.2409,7.6587,7.3716,7.0114,6.9108,6.8478,6.8997,7.0867,7.475,7.6756,7.7174,8.0703,8.1572,7.6344,7.5445,7.5521
0,5.0409,5.7448,6.658,6.3328,7.0175,7.1136,7.145,6.9174,6.8706,6.8056,6.8647,7.2197,7.3108,7.4065,7.4107,7.4029,7.4713,7.5557,8.0057,7.8213
0,5.0208,5.6916,6.3997,6.2282,6.979,6.8599,7.0453,7.0185,7.2059,7.3799,7.4289,7.5426,7.6441,7.6118,7.441,7.4815,7.5623,7.901,8.209,8.0066
0,4.6254,5.1294,5.7535,5.687,6.3274,6.1748,6.4306,6.2044,6.1452,6.2012,6.4025,6.7242,6.9197,7.2968,7.4906,7.688,7.9096,8.0392,8.0457,7.7899
0,6.2325,6.6326,7.4211,7.5282,8.3143,8.4359,8.8206,8.7251,8.587,8.594,8.8526,8.7862,8.9922,9.1835,9.1026,9.1928,9.5589,9.6462,9.3893,9.0968
0,5.4185,5.8121,6.7562,6.8585,7.3289,7.2822,7.2997,7.5698,7.2685,6.8866,7.0366,6.9321,7.25,7.5666,8.0084,8.5847,8.7428,8.8206,8.8995,8.5089
