@relation 'features_mfcc_hamming_avg4s-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B2-M-1.0-Rlast'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 0 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
-12.775,-0.10159,-7.345,-12.707,-4.2734,-11.817,-0.19102,-8.0556,-1.1493,-4.2369,-2.5478,-0.54586,'\'(-inf-0.5]\''
-13.599,-4.0568,-3.5429,-15.013,-4.1245,-6.2716,0.21946,-7.7691,0.13918,-4.311,-3.4268,-0.94791,'\'(-inf-0.5]\''
-16.684,-3.8575,-3.3723,-9.1327,-5.3825,-3.1546,-2.5256,-5.2269,1.9569,-3.7596,-1.3431,-1.7926,'\'(-inf-0.5]\''
-14.386,0.32732,-7.5428,-10.348,-5.2223,-7.2758,-0.069313,-6.1759,1.3609,-4.061,-2.6929,-1.3483,'\'(-inf-0.5]\''
-14.407,-4.608,-7.013,-5.4384,-4.4924,-5.8229,-1.5683,-5.0504,-0.93482,-3.0432,-2.5318,-1.2694,'\'(-inf-0.5]\''
-15.207,-1.1293,-5.3566,-11.787,-3.0682,-5.1048,-1.9616,-7.2314,0.45283,-3.9585,-1.2273,-0.40933,'\'(-inf-0.5]\''
-12.189,-2.4762,-5.2594,-13.369,-8.1151,-8.4,2.768,-9.5944,0.902,-5.4405,-2.7732,-2.4709,'\'(-inf-0.5]\''
-13.696,-2.1448,-1.9854,-12.175,-7.0233,-5.9136,-1.4261,-7.1561,-0.047403,-4.2213,-0.86161,-1.9322,'\'(-inf-0.5]\''
-13.74,-1.1347,-2.6171,-12.473,-8.6522,-10.738,0.13967,-8.8196,1.8449,-5.496,-4.5273,-2.0267,'\'(-inf-0.5]\''
-8.9357,-4.7351,-5.2217,-9.2338,-3.5586,-7.3565,-3.8108,-3.6462,-2.8477,-3.0839,-3.081,0.21041,'\'(-inf-0.5]\''
-9.1388,-2.8222,-4.0528,-9.5444,-5.5303,-6.635,-3.7088,-3.1999,-3.8776,-2.3601,-2.8227,-1.0201,'\'(-inf-0.5]\''
-9.9852,-1.9872,-4.2194,-10.399,-4.0924,-8.3285,-5.6199,-3.4157,-4.979,-1.6794,-4.6612,-1.2553,'\'(-inf-0.5]\''
-8.9052,-5.2638,-5.9237,-7.5964,-4.59,-8.1234,-5.2491,-5.3349,-5.7854,-4.7834,-1.4643,0.61933,'\'(-inf-0.5]\''
-11.576,-1.1917,-0.96376,-9.7489,-8.2298,-6.6918,-9.1088,-3.8044,-6.3999,-2.797,-2.8811,-3.2467,'\'(-inf-0.5]\''
-9.9398,-4.2364,-3.8111,-10.016,-6.1133,-7.6785,-6.1027,-6.2045,-5.2947,-3.4142,-5.2305,-2.1235,'\'(-inf-0.5]\''
-10.162,-2.4548,-3.4735,-9.3243,-7.5718,-6.9208,-7.3852,-4.7712,-5.7853,-2.8084,-4.012,-2.8881,'\'(-inf-0.5]\''
-12.754,-0.39902,-3.1366,-10.911,-7.2307,-7.0476,-7.7886,-3.7639,-3.7625,-3.3865,-3.0335,-1.8308,'\'(-inf-0.5]\''
-9.3154,-2.4506,-2.728,-10.817,-5.4452,-7.7649,-5.6854,-6.4397,-5.5857,-3.1704,-4.8677,-2.4792,'\'(-inf-0.5]\''
-14.246,-6.7607,-2.1302,-6.5699,-6.4911,-1.7515,-4.6586,-2.7244,-2.6424,-0.31532,-1.6581,-0.59362,'\'(-inf-0.5]\''
-10.263,-6.6059,-3.7413,-6.8019,-5.4881,-6.816,-6.5031,-4.7759,-5.5752,-3.7329,-3.5929,-2.7862,'\'(-inf-0.5]\''
-9.1471,-3.9621,-4.4508,-9.3012,-5.0698,-9.0687,-5.6721,-2.0626,-3.9004,-4.0497,-4.7631,-3.2168,'\'(-inf-0.5]\''
-13.961,-5.1858,-3.1817,-8.0232,-3.2247,-4.9847,-4.9578,-2.7772,-4.8168,-2.0342,-2.1841,-1.0827,'\'(-inf-0.5]\''
-8.0421,-1.7395,-7.0496,-9.0501,-7.8171,-12.531,-6.5305,-7.1667,-5.4601,-5.9847,-7.2333,-6.4012,'\'(-inf-0.5]\''
